Location,Bedrooms,Bath,Floor_area (sqm),Latitude,Longitude,Price (PHP)
"Ugong, Pasig",1,1,35.0,14.588882,121.079016,8957000.0
"Ugong, Pasig",1,1,101.0,14.587964,121.079045,28344000.0
"Oranbo, Pasig",2,2,106.0,14.575822,121.064324,37172000.0
"Ugong, Pasig",1,1,132.0,14.587964,121.079045,33705000.0
"Oranbo, Pasig",1,1,45.0,14.575822,121.064324,12527000.0
"Ortigas CBD, Pasig",1,1,52.0,14.583771,121.059675,11300800.0
"Ma-A, Davao",1,1,35.0,7.0867489,125.5840299,4206258.0
"Ugong, Pasig",1,1,56.0,14.588882,121.079016,15364000.0
"Bagumbayan, Quezon City",2,2,67.0,14.6018,121.0885977937,14612268.0
"Ortigas CBD, Pasig",1,1,36.0,14.587518,121.062753,8500000.0
"Sambag II, Cebu",1,1,24.0,10.3058395,123.8908567,2810000.0
"San Antonio, Davao",1,2,50.0,7.095857,125.630475,7320000.0
"Cupang, Muntinlupa",2,1,58.0,14.434669,121.040194,5446700.0
"San Antonio, Pasig",1,1,69.0,14.588377,121.059897,28012000.0
"Ortigas CBD, Pasig",3,2,108.0,14.583771,121.059675,23914800.0
"Ugong, Pasig",1,1,58.0,14.588882,121.079016,15692000.0
"Ugong, Pasig",1,1,32.0,14.588882,121.079016,9206000.0
"Pinagbuhatan, Pasig",1,1,27.0,14.555535,121.090095,3297501.0
"Cupang, Muntinlupa",3,1,323.0,14.434669,121.040194,40322000.0
"Oranbo, Pasig",1,1,70.0,14.575822,121.064324,22805000.0
"Oranbo, Pasig",1,1,76.0,14.575822,121.064324,26856000.0
"Sasa, Davao",1,1,30.0,7.128006,125.648968,2950000.0
"San Antonio, Pasig",1,1,74.0,14.588377,121.059897,26840000.0
"Ortigas CBD, Pasig",3,2,108.0,14.583771,121.059675,23982600.0
"Ma-A, Davao",1,1,36.0,7.0867489,125.5840299,4206258.0
"Ortigas CBD, Pasig",1,1,52.0,14.583771,121.059675,11166400.0
"San Antonio, Pasig",2,2,109.0,14.588377,121.059897,44056000.0
"Ugong, Pasig",1,1,57.0,14.588882,121.079016,16283000.0
"Barangka Ilaya, Mandaluyong",3,2,74.0,14.571338,121.04641,7852870.0
"Pag-Ibig Sa Nayon, Quezon City",3,2,139.0,14.646511,120.996952,21700000.0
"Oranbo, Pasig",1,1,46.0,14.575822,121.064324,13246000.0
"San Antonio, Pasig",1,1,115.0,14.588716,121.060009,40422000.0
"Barangka Ilaya, Mandaluyong",1,1,33.0,14.572246,121.05402,5700000.0
"San Antonio, Davao",2,2,76.0,7.095857,125.630475,10760000.0
"Paligsahan, Quezon City",1,1,24.0,14.646511,120.996952,2963760.0
"Oranbo, Pasig",2,2,104.0,14.575822,121.064324,32507000.0
"San Antonio, Pasig",1,1,93.0,14.588716,121.060009,32200000.0
"Bagumbayan, Quezon City",2,2,67.0,14.605396,121.081903,14278110.0
"Ortigas CBD, Pasig",3,2,102.0,14.583771,121.059675,24721800.0
"Ortigas CBD, Pasig",1,1,37.0,14.583771,121.059675,8876973.0
"San Antonio, Pasig",2,2,114.0,14.588377,121.059897,42229000.0
"Ugong, Pasig",1,1,58.0,14.588882,121.079016,15902000.0
"Highway Hills, Mandaluyong",2,2,84.0,14.578255,121.052143,16806000.0
"Ortigas CBD, Pasig",1,1,58.0,14.583771,121.059675,12488000.0
