Description,Location,Price (PHP),Bedrooms,Bath,Floor_area (sqm),Latitude,Longitude,Link,Location_Last_Part
"RFO 1-Bedroom Condo Unit for Sale in Asia Enclaves, Cupang, Muntinlupa City | 217-G","Cupang, Muntinlupa",3756900,1,1,40,14.434669,121.040194,https://www.lamudi.com.ph/rfo-1-bedroom-condo-unit-for-sale-in-asia-enclaves-cupang-muntinlupa-city-217-g.html,Muntinlupa
"1BR Suite Condo Unit for Sale in Lucima, Cebu Business Park, Cebu City | Pre-selling","Hippodromo, Cebu",8929270,1,1,53,10.315,123.9059285,https://www.lamudi.com.ph/1br-suite-condo-unit-for-sale-in-lucima-cebu-business-park-cebu-city-pre-selling.html,Cebu
"RFO 2-Bedroom Condo Unit for Sale in Asia Enclaves, Cupang, Muntinlupa City | 313-C","Cupang, Muntinlupa",5071500,2,1,54,14.434669,121.040194,https://www.lamudi.com.ph/rfo-2-bedroom-condo-unit-for-sale-in-asia-enclaves-cupang-muntinlupa-city-313-c.html,Muntinlupa
"2BR Bi-Level Condo Unit for Sale in West Parc - Alder Building, Filinvest City, Alaba...","Alabang, Muntinlupa",10000000,2,2,74,14.4179774,121.037608,https://www.lamudi.com.ph/2br-bi-level-condo-unit-for-sale-in-west-parc-alder-building-filinvest-city-alabang-muntinlupa-74sqm.html,Muntinlupa
"2-Bedroom Unit for Sale in One Lakeshore Drive, San Antonio, Davao - Tower 4","San Antonio, Davao",10760000,2,2,76,7.095857,125.630475,https://www.lamudi.com.ph/2-bedroom-unit-for-sale-in-one-lakeshore-drive-san-antonio-davao-tower-4.html,Davao
"Cityland Pioneer Heights 1, Studio Unit (18.82 sqm) for Sale in Mandaluyong City","Highway Hills, Mandaluyong",1962165,1,1,18,14.578255,121.052143,https://www.lamudi.com.ph/cityland-pioneer-heights-1-studio-unit-18-82-sqm-for-sale-in-mandaluyong-city.html,Mandaluyong
"2BR Bi-Level Condo Unit for Sale in West Parc - Alder Building, Filinvest City, Alaba...","Alabang, Muntinlupa",10000000,2,2,74,14.4179774,121.037608,https://www.lamudi.com.ph/2br-bi-level-condo-unit-for-sale-in-west-parc-alder-building-filinvest-city-alabang-muntinlupa-74sqm.html,Muntinlupa
"2-Bedroom Condo Unit (7H) for Sale in One Sierra, EDSA, Mandaluyong City, Metro Manil...","Highway Hills, Mandaluyong",15982506,2,2,84,14.578255,121.052143,https://www.lamudi.com.ph/2-bedroom-condo-unit-7h-for-sale-in-one-sierra-edsa-mandaluyong-city-metro-manila.html,Mandaluyong
Studio Unit for Sale in AMA Tower Residences Wack-Wack Greenhills Mandaluyong|5K,"Wack-Wack Greenhills, Mandaluyong",4746044,1,1,20,14.592173,121.053333,https://www.lamudi.com.ph/studio-unit-for-sale-in-ama-tower-residences-wack-wack-greenhills-mandaluyong-5k.html,Mandaluyong
"RFO 2-Bedroom Condo Unit for Sale in Asia Enclaves, Cupang, Muntinlupa City | 312-C","Cupang, Muntinlupa",5071500,2,1,54,14.434669,121.040194,https://www.lamudi.com.ph/rfo-2-bedroom-condo-unit-for-sale-in-asia-enclaves-cupang-muntinlupa-city-312-c.html,Muntinlupa
"2 bedroom Condominium for Sale in Suntrust Capitol Plaza, Diliman, Quezon City","Diliman, Quezon City",10000000,2,2,68,14.644874,121.050593,https://www.lamudi.com.ph/2-bedroom-condominium-for-sale-in-suntrust-capitol-plaza-diliman-quezon-city-1.html,Quezon City
"Furnished 3BR Unit (70 sqm) for Sale in Tivoli Condo, Talamban, Cebu City","Talamban, Cebu",7500000,3,2,70,10.36171,123.911374,https://www.lamudi.com.ph/furnished-3br-unit-70-sqm-for-sale-in-tivoli-condo-talamban-cebu-city.html,Cebu
"Condominium with 2 bedroom for Sale in One Lakeshore Drive, San Antonio, Davao","San Antonio, Davao",10760000,2,2,76,7.095857,125.630475,https://www.lamudi.com.ph/condominium-with-2-bedroom-for-sale-in-one-lakeshore-drive-san-antonio-davao-1.html,Davao
"RFO 3BR 3-Storey Townhouse for Sale in Likha Residences, Cupang, Muntinlupa | Typical...","Cupang, Muntinlupa",28564000,3,1,237,14.434669,121.040194,https://www.lamudi.com.ph/rfo-3br-3-storey-townhouse-for-sale-in-likha-residences-cupang-muntinlupa-typical-unit-with-extra-lot.html,Muntinlupa
"Residential Unit (110-11) for Sale in UniPlace @ SWU Village, Cebu City","Sambag II, Cebu",2810000,1,1,24,10.3058395,123.8908567,https://www.lamudi.com.ph/residential-unit-110-11-for-sale-in-uniplace-swu-village-cebu-city.html,Cebu
"Residential Unit (107-04) for Sale in UniPlace @ SWU Village, Cebu City","Sambag II, Cebu",2810000,1,1,24,10.3058395,123.8908567,https://www.lamudi.com.ph/residential-unit-107-04-for-sale-in-uniplace-swu-village-cebu-city.html,Cebu
"1BR Condo Unit w/ Balcony for Sale in AMA Tower Residences, Mandaluyong City |5N","Wack-Wack Greenhills, Mandaluyong",8098491,1,1,34,14.592173,121.053333,https://www.lamudi.com.ph/1br-condo-unit-w-balcony-for-sale-in-ama-tower-residences-mandaluyong-city-5n.html,Mandaluyong
"2-Bedroom Unit (67.7 sqm) for Sale in City Clou, Cebu City","Zapatera, Cebu",8983740,2,1,67,10.305725,123.904993,https://www.lamudi.com.ph/2-bedroom-unit-67-7-sqm-for-sale-in-city-clou-cebu-city.html,Cebu
"1BR Condo Unit for Sale in AMA Tower Residences, Wack-Wack Mandaluyong City | 5C","Wack-Wack Greenhills, Mandaluyong",10705260,1,1,45,14.592173,121.053333,https://www.lamudi.com.ph/1br-condo-unit-for-sale-in-ama-tower-residences-wack-wack-mandaluyong-city-5c.html,Mandaluyong
"The Levels Burbank Tower, 1-Bedroom Flexible (36 sqm) for Sale in Alabang (for as low...","Alabang, Muntinlupa",11088000,1,1,36,14.4179774,121.037608,https://www.lamudi.com.ph/the-levels-burbank-tower-1-bedroom-flexible-36-sqm-for-sale-in-alabang-for-as-low-as-php-30-000-monthly.html,Muntinlupa
Pioneer Pointe 2BR Bi-Level Unit (73 sqm) for Sale in Mandaluyong (Move-in for as low...,"Highway Hills, Mandaluyong",11088000,2,2,73,14.578255,121.052143,https://www.lamudi.com.ph/pioneer-pointe-2br-bi-level-unit-73-sqm-for-sale-in-mandaluyong-move-in-for-as-low-as-php-320k.html,Mandaluyong
Arezzo Place Davao - Studio Unit for Sale in Davao,"Sasa, Davao",2950000,1,1,30,7.128006,125.648968,https://www.lamudi.com.ph/arezzo-place-davao-studio-unit-for-sale-in-davao.html,Davao
"2-Bedroom Unit for Sale in Suntrust Asmara Tower 2, New Manila, Quezon City","New Manila, Quezon City",6785600,2,1,39,14.621176,121.022808,https://www.lamudi.com.ph/2-bedroom-unit-for-sale-in-suntrust-asmara-tower-2-new-manila-quezon-city.html,Quezon City
"2-Bedroom Condo Unit with Balcony for Sale at Legacy Leisure Residences in Ma-a, Dava...","Ma-A, Davao",8535732,2,2,76,7.0867489,125.5840299,https://www.lamudi.com.ph/2-bedroom-condo-unit-with-balcony-for-sale-at-legacy-leisure-residences-in-ma-a-davao-city-76-35-sqm.html,Davao
"Residential Unit (110-02) for Sale in UniPlace @ SWU Village, Cebu City","Sambag II, Cebu",2810000,1,1,24,10.3058395,123.8908567,https://www.lamudi.com.ph/residential-unit-110-02-for-sale-in-uniplace-swu-village-cebu-city.html,Cebu
"Pre-Selling 2-Bedroom  (75 sqm) in Galleria Residences 3, Cebu City","North Reclamation Area, Cebu",13007400,2,1,75,10.3084189,123.9157609,https://www.lamudi.com.ph/pre-selling-2-bedroom-75-sqm-in-galleria-residences-3-cebu-city-3.html,Cebu
"1-Bedroom Condo Unit for Sale at Legacy Leisure Residences in Ma-a, Davao City | 35.7...","Ma-A, Davao",4206258,1,1,35,7.0867489,125.5840299,https://www.lamudi.com.ph/1-bedroom-condo-unit-for-sale-at-legacy-leisure-residences-in-ma-a-davao-city-35-75-sqm.html,Davao
"2-Bedroom Condo Unit with Balcony for Sale at Legacy Leisure Residences in Ma-a, Dava...","Ma-A, Davao",8645982,2,2,77,7.0867489,125.5840299,https://www.lamudi.com.ph/2-bedroom-condo-unit-with-balcony-for-sale-at-legacy-leisure-residences-in-ma-a-davao-city-77-2-sqm.html,Davao
"Studio Condo Unit (16E) for Sale in One Sierra, EDSA, Mandaluyong City, Metro Manila","Highway Hills, Mandaluyong",8018070,1,1,33,14.578255,121.052143,https://www.lamudi.com.ph/studio-condo-unit-16e-for-sale-in-one-sierra-edsa-mandaluyong-city-metro-manila.html,Mandaluyong
"2-Storey Townhouse Inner Crescent Mid Unit for Sale in Pristina North Residences, Tal...","Talamban, Cebu",14700000,3,1,115,10.36171,123.911374,https://www.lamudi.com.ph/2-storey-townhouse-inner-crescent-mid-unit-for-sale-in-pristina-north-residences-talamban-cebu-with-special-offer.html,Cebu
"Lot Only for Sale in Pristina North Residences, Talamban, Cebu - with Special Offer","Talamban, Cebu",19200000,1,1,58,10.36171,123.911374,https://www.lamudi.com.ph/lot-only-for-sale-in-pristina-north-residences-talamban-cebu-with-special-offer.html,Cebu
